date,amount,category,account,title,type,month,day,weekday
2024-08-11 13:56:59.652,45.0,bills & fees,Savings Bank,karthik,EXPENSE,8,11,6
2024-08-10 16:09:55.986,40.0,food & drinks,Cash,juice,EXPENSE,8,10,5
2024-08-09 10:25:21.618,10.0,transport,Cash,tire,EXPENSE,8,9,4
2024-08-07 03:57:24.944,200.0,bills & fees,Savings Bank,baba,EXPENSE,8,7,2
2024-08-04 13:07:41.831,500.0,bills & fees,Savings Bank,baba,EXPENSE,8,4,6
2024-08-02 15:25:39.300,30.0,bills & fees,Salary Bank,grocery,EXPENSE,8,2,4
2024-08-02 05:25:11.454,100.0,transport,Savings Bank,petrol,EXPENSE,8,2,4
2024-08-02 03:58:59.121,74.0,not defined,Cash,adjust balance,EXPENSE,8,2,4
2024-08-02 03:56:52.237,102.0,not defined,Savings Bank,adjust balance,EXPENSE,8,2,4
2024-08-01 13:47:08.112,152.0,bills & fees,Savings Bank,haircut,EXPENSE,8,1,3
2024-08-01 13:46:53.758,500.0,bills & fees,Savings Bank,baba,EXPENSE,8,1,3
2024-07-31 14:34:25.800,22.0,bills & fees,Savings Bank,print,EXPENSE,7,31,2
2024-07-31 13:49:37.981,300.0,bills & fees,Savings Bank,license,EXPENSE,7,31,2
2024-07-26 14:48:03.223,70.0,food & drinks,Savings Bank,noodles,EXPENSE,7,26,4
2024-07-20 04:53:54.600,30.0,food & drinks,Cash,breakfast,EXPENSE,7,20,5
2024-07-20 04:53:37.992,50.0,bills & fees,Cash,maa,EXPENSE,7,20,5
2024-07-15 16:02:44.240,3.0,not defined,Cash,adjust balance,EXPENSE,7,15,0
2024-07-15 08:50:27.789,3800.0,bills & fees,Savings Bank,rent,EXPENSE,7,15,0
2024-07-14 14:26:20.654,171.0,bills & fees,Cash,grocery,EXPENSE,7,14,6
2024-07-14 14:26:07.147,90.0,bills & fees,Cash,grocery,EXPENSE,7,14,6
2024-07-12 15:50:33.462,300.0,bills & fees,Savings Bank,baba,EXPENSE,7,12,4
2024-07-12 15:49:26.564,50.0,not defined,Cash,adjust balance,EXPENSE,7,12,4
2024-07-12 13:29:24.460,50.0,not defined,Savings Bank,savings bank,EXPENSE,7,12,4
2024-07-10 08:46:15.659,50.0,bills & fees,Cash,maa,EXPENSE,7,10,2
2024-07-10 08:45:59.387,30.0,food & drinks,Cash,breakfast,EXPENSE,7,10,2
